,centroid_x,centroid_y,minx,miny,maxx,maxy,watershed_area,station
75265,41.43564531062719,57.55789000578683,41.20338408843122,57.50178237940681,41.60989810765404,57.62183433598521,194.4938800933009,75265
75266,41.18837058553629,57.301579065197245,40.92447207397676,57.163163938620514,41.45791776227961,57.44933037343111,512.6922452875752,75266
75267,41.94564311897962,57.257557965875876,41.71444906910946,57.15216069415052,42.1607203973542,57.37326722599264,341.6853711829679,75267
75273,42.048275192253854,57.87213985464208,41.76683709243517,57.68597297266669,42.328023427964695,58.05565101548112,788.7086744806331,75273
75274,42.43581832093168,57.88179148241644,42.18451161884411,57.68093031167346,42.699836999144225,58.06147489156334,781.6673906013028,75274
75280,43.121884007244404,58.1253136146428,42.373167496400995,57.759942486366384,43.73052789283035,58.43379554341577,3780.796838972189,75280
75286,44.1922340490511,59.113757024594165,42.52326803307526,58.27059976543185,45.41901045259055,60.002952803904456,16140.407112580959,75286
75287,44.24080451684915,58.970460965816095,42.52326803307526,57.8223523254883,45.41901045259052,60.002952803904456,18784.410329433056,75287
75289,43.11920028878698,58.826545204348356,42.5232680330753,58.530639748180036,43.75674823286548,59.08391432401586,1846.4739118580048,75289
75290,45.09808441172216,58.99136417522238,44.72619020451014,58.729468579513735,45.419010452590385,59.27064978317225,1244.9345116424172,75290
75291,45.079139701887634,58.85565615175671,44.71517513915568,58.4666666666867,45.41901045259039,59.27064978317227,2098.714615745369,75291
75292,43.03489490784473,58.49541593535314,42.62001992049492,58.36670646981006,43.421263384217426,58.64642252935921,949.2668063871128,75292
75293,43.76344304917088,58.47578686911783,42.62001992049492,58.009118276708094,44.603302125628616,58.880908951108445,5665.050827605945,75293
75297,44.02641577754531,57.41525072403561,43.832823406450025,57.29006154447007,44.248057991014946,57.52467638598012,438.4916913088787,75297
75306,36.13906843626908,52.45923407736861,35.957223253081146,52.334061683428125,36.35097700697348,52.59578466220479,498.0736527791279,75306
75309,35.78529762598862,52.74607095739591,35.16225940581144,52.334061683428125,36.42004120011513,53.17378112095909,4913.5256615648705,75309
75311,36.34622485014325,53.09341401178096,35.162259405811454,52.334061683428146,37.630216257363976,53.85493575016979,17363.571014406738,75311
75314,35.94996675986085,53.91857277554011,33.210061525047955,52.334061683428146,38.53460859818219,55.51242828369189,54691.53723555338,75314
75320,36.72492110579722,54.484919306612674,33.210061525047955,52.334061683428146,40.210557347327985,56.28608057469104,99003.68427853106,75320
75326,39.12772867475275,54.31367809905556,33.210061525047955,52.11120515275818,45.02818830090372,56.28608057469104,186569.27170808442,75326
75332,35.50248843999111,52.64099632675624,35.211757167175634,52.48664445012662,35.80802275575744,52.778753253637916,826.6887541436049,75332
75333,35.43737521876429,52.97968293804181,35.16225940581144,52.85766261657744,35.77494418358064,53.123047173076415,641.9338320425124,75333
75336,36.34459905235816,52.89915661315314,36.12013985003768,52.707150552006006,36.65441617421353,53.03882217407234,604.2082085680872,75336
75337,37.32440041685088,53.10877544425027,37.00712325833893,52.78421611082903,37.630216257364,53.435815001461705,1922.0813618854968,75337
75339,36.96466129020855,53.062030528992416,36.255257236816114,52.388239575278305,37.630216257364,53.60409698313718,5903.101300545578,75339
75343,36.6529276302476,52.72605794731478,36.255257236816114,52.388239575278305,37.09862136270441,52.9490746692476,1462.4749360644516,75343
75348,35.791297794679274,53.34498614274141,35.47135555866159,53.14920702718487,36.12882257276762,53.52344065819243,966.027792182579,75348
75359,37.559891221364126,53.9551150950406,36.72093965328672,53.40821491083845,38.534608598182174,54.42084086216787,8298.372958221182,75359
75361,37.47981554085952,53.87029062381223,37.291479639595735,53.762448743736954,37.64750419058955,54.00727604516576,380.8928029746763,75361
75367,34.97660994613442,53.959070842999296,34.571657310892554,53.65364075990463,35.57483776381137,54.21388823584869,1869.3095994396983,75367
